cp	hex	char	name	category	eaw	cells	block	ghostty	used_face	packed_scale	packed_class	packed_density	packed_overflow_cells	packed_ink_width_cells	packed_raster	roomy_scale	roomy_class	roomy_density	roomy_overflow_cells	roomy_ink_width_cells	roomy_raster
52963	U+CEE3	컣	HANGUL SYLLABLE KYAEH	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2372	0.0000	1.5676	.rasters/4x/packed/ce/cee3.png	1.0000	wide	0.2372	0.0000	1.5676	.rasters/4x/roomy/ce/cee3.png
52964	U+CEE4	커	HANGUL SYLLABLE KEO	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1484	0.0000	1.5135	.rasters/4x/packed/ce/cee4.png	1.0000	wide	0.1484	0.0000	1.5135	.rasters/4x/roomy/ce/cee4.png
52965	U+CEE5	컥	HANGUL SYLLABLE KEOG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1708	0.0000	1.5676	.rasters/4x/packed/ce/cee5.png	1.0000	wide	0.1708	0.0000	1.5676	.rasters/4x/roomy/ce/cee5.png
52966	U+CEE6	컦	HANGUL SYLLABLE KEOGG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1882	0.0000	1.5676	.rasters/4x/packed/ce/cee6.png	1.0000	wide	0.1882	0.0000	1.5676	.rasters/4x/roomy/ce/cee6.png
52967	U+CEE7	컧	HANGUL SYLLABLE KEOGS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1885	0.0000	1.6216	.rasters/4x/packed/ce/cee7.png	1.0000	wide	0.1885	0.0000	1.6216	.rasters/4x/roomy/ce/cee7.png
52968	U+CEE8	컨	HANGUL SYLLABLE KEON	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1797	0.0000	1.5676	.rasters/4x/packed/ce/cee8.png	1.0000	wide	0.1797	0.0000	1.5676	.rasters/4x/roomy/ce/cee8.png
52969	U+CEE9	컩	HANGUL SYLLABLE KEONJ	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2021	0.0000	1.5946	.rasters/4x/packed/ce/cee9.png	1.0000	wide	0.2021	0.0000	1.5946	.rasters/4x/roomy/ce/cee9.png
52970	U+CEEA	컪	HANGUL SYLLABLE KEONH	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2083	0.0000	1.5676	.rasters/4x/packed/ce/ceea.png	1.0000	wide	0.2083	0.0000	1.5676	.rasters/4x/roomy/ce/ceea.png
52971	U+CEEB	컫	HANGUL SYLLABLE KEOD	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2029	0.0000	1.5946	.rasters/4x/packed/ce/ceeb.png	1.0000	wide	0.2029	0.0000	1.5946	.rasters/4x/roomy/ce/ceeb.png
52972	U+CEEC	컬	HANGUL SYLLABLE KEOL	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2340	0.0000	1.5946	.rasters/4x/packed/ce/ceec.png	1.0000	wide	0.2340	0.0000	1.5946	.rasters/4x/roomy/ce/ceec.png
52973	U+CEED	컭	HANGUL SYLLABLE KEOLG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2142	0.0000	1.5676	.rasters/4x/packed/ce/ceed.png	1.0000	wide	0.2142	0.0000	1.5676	.rasters/4x/roomy/ce/ceed.png
52974	U+CEEE	컮	HANGUL SYLLABLE KEOLM	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2367	0.0000	1.5676	.rasters/4x/packed/ce/ceee.png	1.0000	wide	0.2367	0.0000	1.5676	.rasters/4x/roomy/ce/ceee.png
52975	U+CEEF	컯	HANGUL SYLLABLE KEOLB	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2358	0.0000	1.5676	.rasters/4x/packed/ce/ceef.png	1.0000	wide	0.2358	0.0000	1.5676	.rasters/4x/roomy/ce/ceef.png
52976	U+CEF0	컰	HANGUL SYLLABLE KEOLS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2142	0.0000	1.5946	.rasters/4x/packed/ce/cef0.png	1.0000	wide	0.2142	0.0000	1.5946	.rasters/4x/roomy/ce/cef0.png
52977	U+CEF1	컱	HANGUL SYLLABLE KEOLT	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2411	0.0000	1.5676	.rasters/4x/packed/ce/cef1.png	1.0000	wide	0.2411	0.0000	1.5676	.rasters/4x/roomy/ce/cef1.png
52978	U+CEF2	컲	HANGUL SYLLABLE KEOLP	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2348	0.0000	1.5676	.rasters/4x/packed/ce/cef2.png	1.0000	wide	0.2348	0.0000	1.5676	.rasters/4x/roomy/ce/cef2.png
52979	U+CEF3	컳	HANGUL SYLLABLE KEOLH	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2303	0.0000	1.5676	.rasters/4x/packed/ce/cef3.png	1.0000	wide	0.2303	0.0000	1.5676	.rasters/4x/roomy/ce/cef3.png
52980	U+CEF4	컴	HANGUL SYLLABLE KEOM	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2124	0.0000	1.5676	.rasters/4x/packed/ce/cef4.png	1.0000	wide	0.2124	0.0000	1.5676	.rasters/4x/roomy/ce/cef4.png
52981	U+CEF5	컵	HANGUL SYLLABLE KEOB	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2125	0.0000	1.5676	.rasters/4x/packed/ce/cef5.png	1.0000	wide	0.2125	0.0000	1.5676	.rasters/4x/roomy/ce/cef5.png
52982	U+CEF6	컶	HANGUL SYLLABLE KEOBS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2106	0.0000	1.5946	.rasters/4x/packed/ce/cef6.png	1.0000	wide	0.2106	0.0000	1.5946	.rasters/4x/roomy/ce/cef6.png
52983	U+CEF7	컷	HANGUL SYLLABLE KEOS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1749	0.0000	1.6216	.rasters/4x/packed/ce/cef7.png	1.0000	wide	0.1749	0.0000	1.6216	.rasters/4x/roomy/ce/cef7.png
52984	U+CEF8	컸	HANGUL SYLLABLE KEOSS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1893	0.0000	1.6216	.rasters/4x/packed/ce/cef8.png	1.0000	wide	0.1893	0.0000	1.6216	.rasters/4x/roomy/ce/cef8.png
52985	U+CEF9	컹	HANGUL SYLLABLE KEONG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2038	0.0000	1.5946	.rasters/4x/packed/ce/cef9.png	1.0000	wide	0.2038	0.0000	1.5946	.rasters/4x/roomy/ce/cef9.png
52986	U+CEFA	컺	HANGUL SYLLABLE KEOJ	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2057	0.0000	1.6216	.rasters/4x/packed/ce/cefa.png	1.0000	wide	0.2057	0.0000	1.6216	.rasters/4x/roomy/ce/cefa.png
52987	U+CEFB	컻	HANGUL SYLLABLE KEOC	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2084	0.0000	1.6216	.rasters/4x/packed/ce/cefb.png	1.0000	wide	0.2084	0.0000	1.6216	.rasters/4x/roomy/ce/cefb.png
52988	U+CEFC	컼	HANGUL SYLLABLE KEOK	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1993	0.0000	1.5676	.rasters/4x/packed/ce/cefc.png	1.0000	wide	0.1993	0.0000	1.5676	.rasters/4x/roomy/ce/cefc.png
52989	U+CEFD	컽	HANGUL SYLLABLE KEOT	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2319	0.0000	1.5946	.rasters/4x/packed/ce/cefd.png	1.0000	wide	0.2319	0.0000	1.5946	.rasters/4x/roomy/ce/cefd.png
52990	U+CEFE	컾	HANGUL SYLLABLE KEOP	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2107	0.0000	1.6216	.rasters/4x/packed/ce/cefe.png	1.0000	wide	0.2107	0.0000	1.6216	.rasters/4x/roomy/ce/cefe.png
52991	U+CEFF	컿	HANGUL SYLLABLE KEOH	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2096	0.0000	1.5676	.rasters/4x/packed/ce/ceff.png	1.0000	wide	0.2096	0.0000	1.5676	.rasters/4x/roomy/ce/ceff.png
52992	U+CF00	케	HANGUL SYLLABLE KE	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1844	0.0000	1.5135	.rasters/4x/packed/cf/cf00.png	1.0000	wide	0.1844	0.0000	1.5135	.rasters/4x/roomy/cf/cf00.png
52993	U+CF01	켁	HANGUL SYLLABLE KEG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1921	0.0000	1.5676	.rasters/4x/packed/cf/cf01.png	1.0000	wide	0.1921	0.0000	1.5676	.rasters/4x/roomy/cf/cf01.png
52994	U+CF02	켂	HANGUL SYLLABLE KEGG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2095	0.0000	1.5676	.rasters/4x/packed/cf/cf02.png	1.0000	wide	0.2095	0.0000	1.5676	.rasters/4x/roomy/cf/cf02.png
52995	U+CF03	켃	HANGUL SYLLABLE KEGS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2098	0.0000	1.6216	.rasters/4x/packed/cf/cf03.png	1.0000	wide	0.2098	0.0000	1.6216	.rasters/4x/roomy/cf/cf03.png
52996	U+CF04	켄	HANGUL SYLLABLE KEN	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2069	0.0000	1.5676	.rasters/4x/packed/cf/cf04.png	1.0000	wide	0.2069	0.0000	1.5676	.rasters/4x/roomy/cf/cf04.png
52997	U+CF05	켅	HANGUL SYLLABLE KENJ	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2234	0.0000	1.5946	.rasters/4x/packed/cf/cf05.png	1.0000	wide	0.2234	0.0000	1.5946	.rasters/4x/roomy/cf/cf05.png
52998	U+CF06	켆	HANGUL SYLLABLE KENH	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2296	0.0000	1.5676	.rasters/4x/packed/cf/cf06.png	1.0000	wide	0.2296	0.0000	1.5676	.rasters/4x/roomy/cf/cf06.png
52999	U+CF07	켇	HANGUL SYLLABLE KED	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2242	0.0000	1.5946	.rasters/4x/packed/cf/cf07.png	1.0000	wide	0.2242	0.0000	1.5946	.rasters/4x/roomy/cf/cf07.png
53000	U+CF08	켈	HANGUL SYLLABLE KEL	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2553	0.0000	1.5946	.rasters/4x/packed/cf/cf08.png	1.0000	wide	0.2553	0.0000	1.5946	.rasters/4x/roomy/cf/cf08.png
53001	U+CF09	켉	HANGUL SYLLABLE KELG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2355	0.0000	1.5676	.rasters/4x/packed/cf/cf09.png	1.0000	wide	0.2355	0.0000	1.5676	.rasters/4x/roomy/cf/cf09.png
53002	U+CF0A	켊	HANGUL SYLLABLE KELM	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2580	0.0000	1.5676	.rasters/4x/packed/cf/cf0a.png	1.0000	wide	0.2580	0.0000	1.5676	.rasters/4x/roomy/cf/cf0a.png
