hex	char	cat	decimal	digit	numeric	name
U+1812	᠒	Nd	2	2	2.0	MONGOLIAN DIGIT TWO
U+1813	᠓	Nd	3	3	3.0	MONGOLIAN DIGIT THREE
U+1814	᠔	Nd	4	4	4.0	MONGOLIAN DIGIT FOUR
U+1815	᠕	Nd	5	5	5.0	MONGOLIAN DIGIT FIVE
U+1816	᠖	Nd	6	6	6.0	MONGOLIAN DIGIT SIX
U+1817	᠗	Nd	7	7	7.0	MONGOLIAN DIGIT SEVEN
U+1818	᠘	Nd	8	8	8.0	MONGOLIAN DIGIT EIGHT
U+1819	᠙	Nd	9	9	9.0	MONGOLIAN DIGIT NINE
U+1946	᥆	Nd	0	0	0.0	LIMBU DIGIT ZERO
U+1947	᥇	Nd	1	1	1.0	LIMBU DIGIT ONE
U+1948	᥈	Nd	2	2	2.0	LIMBU DIGIT TWO
U+1949	᥉	Nd	3	3	3.0	LIMBU DIGIT THREE
U+194A	᥊	Nd	4	4	4.0	LIMBU DIGIT FOUR
U+194B	᥋	Nd	5	5	5.0	LIMBU DIGIT FIVE
U+194C	᥌	Nd	6	6	6.0	LIMBU DIGIT SIX
U+194D	᥍	Nd	7	7	7.0	LIMBU DIGIT SEVEN
U+194E	᥎	Nd	8	8	8.0	LIMBU DIGIT EIGHT
U+194F	᥏	Nd	9	9	9.0	LIMBU DIGIT NINE
U+19D0	᧐	Nd	0	0	0.0	NEW TAI LUE DIGIT ZERO
U+19D1	᧑	Nd	1	1	1.0	NEW TAI LUE DIGIT ONE
U+19D2	᧒	Nd	2	2	2.0	NEW TAI LUE DIGIT TWO
U+19D3	᧓	Nd	3	3	3.0	NEW TAI LUE DIGIT THREE
U+19D4	᧔	Nd	4	4	4.0	NEW TAI LUE DIGIT FOUR
U+19D5	᧕	Nd	5	5	5.0	NEW TAI LUE DIGIT FIVE
U+19D6	᧖	Nd	6	6	6.0	NEW TAI LUE DIGIT SIX
U+19D7	᧗	Nd	7	7	7.0	NEW TAI LUE DIGIT SEVEN
U+19D8	᧘	Nd	8	8	8.0	NEW TAI LUE DIGIT EIGHT
U+19D9	᧙	Nd	9	9	9.0	NEW TAI LUE DIGIT NINE
U+19DA	᧚	No	None	1	1.0	NEW TAI LUE THAM DIGIT ONE
U+1A80	᪀	Nd	0	0	0.0	TAI THAM HORA DIGIT ZERO
U+1A81	᪁	Nd	1	1	1.0	TAI THAM HORA DIGIT ONE
U+1A82	᪂	Nd	2	2	2.0	TAI THAM HORA DIGIT TWO
U+1A83	᪃	Nd	3	3	3.0	TAI THAM HORA DIGIT THREE
U+1A84	᪄	Nd	4	4	4.0	TAI THAM HORA DIGIT FOUR
U+1A85	᪅	Nd	5	5	5.0	TAI THAM HORA DIGIT FIVE
U+1A86	᪆	Nd	6	6	6.0	TAI THAM HORA DIGIT SIX
U+1A87	᪇	Nd	7	7	7.0	TAI THAM HORA DIGIT SEVEN
U+1A88	᪈	Nd	8	8	8.0	TAI THAM HORA DIGIT EIGHT
U+1A89	᪉	Nd	9	9	9.0	TAI THAM HORA DIGIT NINE
U+1A90	᪐	Nd	0	0	0.0	TAI THAM THAM DIGIT ZERO
U+1A91	᪑	Nd	1	1	1.0	TAI THAM THAM DIGIT ONE
U+1A92	᪒	Nd	2	2	2.0	TAI THAM THAM DIGIT TWO
U+1A93	᪓	Nd	3	3	3.0	TAI THAM THAM DIGIT THREE
U+1A94	᪔	Nd	4	4	4.0	TAI THAM THAM DIGIT FOUR
U+1A95	᪕	Nd	5	5	5.0	TAI THAM THAM DIGIT FIVE
U+1A96	᪖	Nd	6	6	6.0	TAI THAM THAM DIGIT SIX
U+1A97	᪗	Nd	7	7	7.0	TAI THAM THAM DIGIT SEVEN
U+1A98	᪘	Nd	8	8	8.0	TAI THAM THAM DIGIT EIGHT
